Sample,T_C,P_bar,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,total_mass_g,Type,Place,Colour,Symbol,reference
Sari15-04-3,1200,,48.14,0.64,15.78,,,,9.26,0.22,7.06,13.93,1.58,0.22,0.06,2.86,234,1324.57,0,0.274,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-7,1200,,47.36,0.63,14.81,,,,9.05,0.17,7.01,14.04,1.51,0.23,0.05,4.82,964,1375.11,0,0.25,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-10,1200,,47.57,0.67,16.22,,,,9.57,0.22,6.73,13.27,1.61,0.23,0.05,3.66,283,1238.89,0,0.246,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-11,1200,,48.37,0.68,15.71,,,,9.03,0.19,6.49,13.12,1.67,0.42,0.12,3.92,554,1416.81,0,0.248,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-13,1200,,47.45,0.66,16.51,,,,9.56,0.21,6.38,13.15,1.67,0.28,0.06,3.84,371,1326.97,0,0.253,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-15,1200,,48.19,0.75,15.8,,,,9.33,0.17,6.4,13.55,1.69,0.36,0.08,3.41,506,1373.29,0,0.233,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-17,1200,,48.19,0.7,16.66,,,,9.04,0.19,6.65,13.51,1.65,0.26,0.07,2.89,67,1206.48,0,0.234,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-18,1200,,48.76,0.69,15.13,,,,8.9,0.17,7.23,13.82,1.57,0.26,0.08,3.21,60,1252.13,0,0.24,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-21,1200,,48.86,0.77,16.1,,,,9.28,0.16,6.52,13.38,1.59,0.35,0.14,2.62,109,1386.46,0,0.256,,,MI,"Sarigan, Mariana MI",steelblue,circle,
Sari15-04-22,1200,,48.41,0.73,15.99,,,,9.24,0.18,6.56,13.55,1.62,0.37,0.1,3.03,97,1386.63,0,0.237,,,MI,"Sarigan, Mariana MI",steelblue,circle,
