Sample,T_C,P_bar,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,total_mass_g,Type,Place,Colour,Symbol,reference
Sari15-04-33_69,1247.670931,,48.66311834,0.744369588,16.44878354,,,,9.54084788,0.17462692,5.883183847,11.56384372,2.130661604,0.653695233,0.162961018,3.704131895,1471.898238,1551.317071,0,0.187563247,,,,,lightgrey,circle,
Sari15-04-33_70,1260.94034,,48.69081212,0.75261117,16.72621396,,,,9.581205746,0.167425249,5.887588399,11.49234525,2.147381321,0.589146497,0.167703198,4.132227555,1592.899065,1502.095862,0,0.197157743,,,,,lightgrey,circle,
Sari15-04-33_71,1242.986826,,47.62335131,0.762332757,16.90682822,,,,9.422774234,0.174351445,5.968575805,11.51464188,2.13411608,0.624857061,0.174703241,4.06445407,1488.548631,1363.937009,0,0.193328312,,,,,lightgrey,circle,
Sari15-04-33_72,1230.301155,,48.21582099,0.747391283,16.9907704,,,,9.328700717,0.17162311,5.933135667,11.68647362,2.148451204,0.582337347,0.17822904,4.657283229,1421.460092,1507.400485,0,0.188198032,,,,,lightgrey,circle,
Sari15-04-33_73,1215.31847,,47.81551754,0.739145511,16.84066457,,,,9.337554652,0.177460953,5.884289355,11.46886953,2.154438358,0.607337792,0.167423244,4.327983987,1594.569079,1134.820543,0,0.186376146,,,,,lightgrey,circle,
Sari15-04-33_74,1263.988206,,47.24155946,0.757923449,16.59483761,,,,9.430871271,0.181383229,5.870588573,11.58211502,2.140583582,0.672886243,0.163756655,3.93880544,1638.244464,1220.009658,0,0.193936236,,,,,lightgrey,circle,
Sari15-04-33_75,1204.812208,,47.7235013,0.744863568,16.93479013,,,,9.415860666,0.179075027,5.82395911,11.47542589,2.13850858,0.674215682,0.167589155,3.840025384,1557.002691,1380.695884,0,0.205639519,,,,,lightgrey,circle,
Sari15-04-33_76,1183.511515,,48.94107118,0.738340729,16.83433645,,,,9.320057268,0.166888984,5.854774429,11.58710076,2.163113068,0.63198853,0.175798697,4.306464872,1492.983234,1365.653544,0,0.196995257,,,,,lightgrey,circle,
Sari15-04-33_77,1191.210923,,48.46080435,0.753698594,16.59512288,,,,9.432102484,0.175340257,5.890401105,11.60441207,2.115693061,0.624429797,0.153699565,4.214346511,1342.039652,1276.699713,0,0.191551011,,,,,lightgrey,circle,
Sari15-04-33_78,1188.492475,,48.00921322,0.748268293,16.75245704,,,,9.564288254,0.174932627,5.935269321,11.43113046,2.136739803,0.602727871,0.174626559,3.838709401,1447.839406,1311.212065,0,0.197839018,,,,,lightgrey,circle,
Sari15-04-33_79,1222.792633,,47.97579698,0.751000906,16.69252306,,,,9.410597671,0.164563261,6.151463459,11.64106043,2.150411477,0.681667708,0.163144628,4.120855536,1436.945303,1625.374674,0,0.195655984,,,,,lightgrey,circle,
Sari15-04-33_80,1184.608534,,47.51893093,0.758241009,16.75680316,,,,9.373875306,0.18369867,5.948005245,11.64009802,2.113813597,0.6004775,0.162410822,3.875539817,1480.176401,1216.679049,0,0.195303972,,,,,lightgrey,circle,
Sari15-04-33_81,1197.778801,,47.73712874,0.735328723,16.94204554,,,,9.392470578,0.185576303,5.888133016,11.44626732,2.130098122,0.696153184,0.164356412,4.461177914,1515.923773,1464.949037,0,0.180856497,,,,,lightgrey,circle,
Sari15-04-33_82,1142.128316,,48.61929405,0.741224839,16.93270783,,,,9.362462827,0.183029352,5.836847176,11.63261219,2.17092398,0.650714592,0.167178577,4.481734723,1528.809556,1188.288538,0,0.192990228,,,,,lightgrey,circle,
Sari15-04-33_83,1130.646387,,48.4102942,0.754325525,16.8589633,,,,9.350316813,0.178326373,5.924000422,11.45669792,2.170724512,0.584924506,0.165771174,4.342130679,1476.754761,1542.159997,0,0.185438784,,,,,lightgrey,circle,
Sari15-04-33_84,1154.46945,,47.38964119,0.755037821,16.57059237,,,,9.352251132,0.16838986,5.881706784,11.57778065,2.114004438,0.619916719,0.173798633,4.356725717,1470.766429,1380.8139,0,0.187611977,,,,,lightgrey,circle,
Sari15-04-33_85,1212.591076,,47.14029443,0.7472113,16.76128831,,,,9.304850659,0.189149425,5.899723813,11.73222397,2.161715174,0.578915325,0.18375351,3.708937511,1580.984867,1485.993139,0,0.20309514,,,,,lightgrey,circle,
Sari15-04-33_86,1159.76854,,48.96523518,0.743902957,16.8052428,,,,9.5166956,0.199673065,5.893575671,11.63287089,2.142217815,0.643385381,0.175658935,3.976209539,1489.104424,1045.974065,0,0.194053092,,,,,lightgrey,circle,
Sari15-04-33_87,1214.383751,,47.71424527,0.738541474,16.69110166,,,,9.449368448,0.184073532,5.926751572,11.69673044,2.106613934,0.616844298,0.169880389,4.209914982,1495.593015,1331.622453,0,0.197851326,,,,,lightgrey,circle,
Sari15-04-33_88,1185.110351,,48.44035445,0.754824603,16.46512341,,,,9.449336953,0.199670979,5.894828494,11.72505191,2.149936295,0.606909601,0.15779299,4.346061784,1473.717274,1400.279202,0,0.195179594,,,,,lightgrey,circle,
Sari15-04-33_89,1088.693077,,48.17537659,0.743072171,16.83491371,,,,9.537513213,0.166490159,5.912307305,11.62150532,2.102999626,0.626008135,0.161552833,4.161863269,1586.620283,1189.50114,0,0.191694032,,,,,lightgrey,circle,
Sari15-04-33_90,1188.52591,,47.93241513,0.742768416,16.99241343,,,,9.290582441,0.190150859,5.92304333,11.72691398,2.091958375,0.657637058,0.185346036,3.928968844,1550.837926,1504.676464,0,0.192357808,,,,,lightgrey,circle,
Sari15-04-33_91,1255.501661,,47.73664985,0.7605552,16.64624825,,,,9.443897352,0.175820293,5.951262362,11.64529905,2.122309736,0.661064707,0.160275964,3.963238837,1276.477573,1394.720267,0,0.194999416,,,,,lightgrey,circle,
Sari15-04-33_92,1252.074885,,48.28472125,0.744710075,16.88490373,,,,9.357288415,0.184305093,5.872774122,11.38341789,2.175782443,0.592156436,0.175122271,4.394545483,1420.768389,1537.360549,0,0.194573617,,,,,lightgrey,circle,
Sari15-04-33_93,1162.949151,,47.71427048,0.748071556,16.67717394,,,,9.372245333,0.173192233,5.940803567,11.55212302,2.14092952,0.632912373,0.157112706,4.37162776,1443.305744,1533.506749,0,0.199996568,,,,,lightgrey,circle,
Sari15-04-33_94,1276.584246,,47.90045085,0.76120648,16.75300969,,,,9.303081208,0.172050678,5.894765897,11.56023775,2.132694097,0.598751406,0.1745816,3.992700365,1403.921351,1732.962985,0,0.199776606,,,,,lightgrey,circle,
Sari15-04-33_95,1237.065628,,47.97384461,0.748318863,16.90922659,,,,9.475542543,0.17977613,6.028038537,11.43538791,2.145867037,0.571469239,0.1656336,4.266261976,1549.429536,1423.856467,0,0.203357997,,,,,lightgrey,circle,
Sari15-04-33_96,1153.679279,,47.91586663,0.750535961,16.57783276,,,,9.532216114,0.182272697,6.017586204,11.66425512,2.123339704,0.673314885,0.172877753,4.037001103,1554.877424,1498.713114,0,0.196354114,,,,,lightgrey,circle,
Sari15-04-33_97,1187.342215,,47.80474287,0.741751848,17.06331787,,,,9.557992855,0.191737496,5.964248201,11.54244183,2.153406643,0.612354447,0.154985975,4.307866694,1555.690755,1153.192359,0,0.206031914,,,,,lightgrey,circle,
Sari15-04-33_98,1203.652517,,48.1786903,0.741616772,17.15482079,,,,9.444192135,0.181661456,5.818665474,11.5663136,2.134269124,0.644598294,0.173851206,4.20999315,1446.990307,1331.681784,0,0.193218579,,,,,lightgrey,circle,
Sari15-04-33_99,1198.628688,,48.85263984,0.732106345,16.59358064,,,,9.334899096,0.169480055,5.958142152,11.61971599,2.07782415,0.607110355,0.176615948,4.418181276,1518.191882,1388.802835,0,0.196973037,,,,,lightgrey,circle,
Sari15-04-33_100,1222.30505,,47.8931853,0.747858592,16.4636679,,,,9.289985742,0.173705096,5.958267672,11.54406568,2.128005439,0.591719451,0.16056236,4.204826796,1563.918243,1573.090432,0,0.19463307,,,,,lightgrey,circle,
,,,,,,,,,,,,,,,,,,,,,,,,,white,square,
Sari15-04-33,1200,,47.89,0.75,16.74,,,,9.43,0.18,5.92,11.58,2.14,0.63,0.17,4.17,1487,1343.58,0,0.195,,,MI,"Sarigan, Mariana MI",white,star,
