Sample,T_C,final_T,P_bar,final_P,DNNO,DFMQ,logfO2,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,wt_g,initial_CO2wtpc,xg_O2,xg_CO,xg_H2,xg_S2,fS2,total_mass_g,gas_volume,melt_volume,crystallisation_pc,bulk 34S/32S,bulk d34S,Notes,logfS2,,
Shishkina+14 [alkali basalt],1250,,1,,,0,,47.3,2.35,14.17,,,,10.82,0.17,10.36,9.94,3.52,0.83,0.47,0,0,0,,,,,,,,,,,,,,,,,,,,
Shishkina+14 [basanite],1250,,1,,,0,,43.64,2.64,12.62,,,,11.54,0.19,12.07,11.82,3.68,1.01,0.7,0,0,0,,,,,,,,,,,,,,,,,,,,
Lesne+11 [St8.1],1150,,1,,,0,,51.772,0.828,18.606,,,,7.317263175,0,6.192,11.026,2.008,1.44,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Sunset crater (Allison+19),1200,,1,,,0,,48.21,1.86,16.44,,,,9.92,0.18,8.58,10.06,3.46,0.82,0.47,0,0,0,,,,,,,,,,,,,,,,,,,,
SFVF (Allison+19),1200,,1,,,0,,53.3,1.14,16.75,,,,7.58,0.17,6.42,9.32,3.22,1.35,0.74,0,0,0,,,,,,,,,,,,,,,,,,,,
Erebus (Allison+19),1200,,1,,,0,,48.38,2.81,19.27,,,,8.92,0.25,3.19,6.93,6.16,2.89,1.19,0,0,0,,,,,,,,,,,,,,,,,,,,
Vesuvius (Allison+19),1200,,1,,,0,,49.2,0.98,15.5,,,,7.01,0.22,6.79,11.77,1.94,5.93,0.64,0,0,0,,,,,,,,,,,,,,,,,,,,
Etna (Allison+19),1200,,1,,,0,,48.77,1.79,16.98,,,,8.7,0.18,6.33,11.26,3.65,1.79,0.53,0,0,0,,,,,,,,,,,,,,,,,,,,
Stromboli (Allison+19),1200,,1,,,0,,50.03,0.82,16.74,,,,6.56,0.2,8.03,12.74,2.46,1.99,0.41,0,0,0,,,,,,,,,,,,,,,,,,,,
Basanite (Holloway+Blank94),1200,,1,,,0,,45,2.9,15,,,,12,0,8,8,4.3,1.1,0.8,0,0,0,,,,,,,,,,,,,,,,,,,,
Leucite (Thibault+Holloway94),1200,,1,,,0,,44,2.7,13,,,,9,0,9,14,3.2,3.5,0.8,0,0,0,,,,,,,,,,,,,,,,,,,,
