Sample,T_C,final_T,P_bar,final_P,DNNO,DFMQ,logfO2,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,wt_g,initial_CO2wtpc,xg_O2,xg_CO,xg_H2,xg_S2,fS2,total_mass_g,gas_volume,melt_volume,crystallisation_pc,bulk 34S/32S,bulk d34S,Notes,logfS2,,
Hawaii high Si,1200,,,,,1.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,1000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,1.9,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,1000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,1000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,2.1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,1000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,2.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,1000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,2.3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,1000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,2.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,1000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,2.5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,1000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,1000,,,-3,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
SFVF,1200,,1000,,,0,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Erebus,1200,,1000,,,0,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Vesuvius,1200,,1000,,,0,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Etna,1200,,1000,,,0,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Stromboli,1200,,1000,,,0,,48.85,0.83,16.83,,,,8.15,0.2,7.81,12.45,2.46,1.99,0.43,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Basanite,1200,,1000,,,0,,46.2,3.18,15.27,,,,12.05,0,9.1,8.26,4.35,1.33,0.27,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Leucite,1200,,1000,,,0,,44.33,2.7,12.87,,,,9.09,0,9.19,14.37,3.22,3.47,0.77,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
AH3 Phonotephrite,1200,,1000,,,0,,50.15,0.86,15.28,,,,7.64,0.04,5.93,11.13,7.11,1.86,0,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
N72 Basalt,1200,,1000,,,0,,50.17,0.92,18.28,,,,9.37,0.17,7,11.37,2.33,0.23,0.15,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
MORB,1200,,1000,,,0,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,1000,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,0.7,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,0.8,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,0.9,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,1,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,1.1,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,1.2,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,1.3,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,1.4,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,1.5,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,1.6,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,1.7,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,1.8,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,1.9,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,2,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,2.1,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,2.2,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,2.3,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,2.4,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,2.5,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,3,,50.8,1.84,13.7,,,,12.4,0.22,6.67,11.5,2.68,0.15,0.19,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,0,,,,,1000,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,0,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,0,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,500,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,1000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,1000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,1000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,1500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,1500,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,1500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,1500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,2000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,2000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,2000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,2000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,2500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,2500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,2500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,2500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,3000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,3000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,3000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,3000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,3500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,3500,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,3500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,3500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,4000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,4000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,4000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,4000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,688.5382048,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,688.5382048,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,688.5382048,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,688.5382048,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,688.5382048,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,688.5382048,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,688.5382048,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,688.5382048,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,688.5382048,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,688.5382048,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,688.5382048,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,688.5382048,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,688.5382048,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,688.5382048,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,688.5382048,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,688.5382048,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,6500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,6500,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,6500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,6500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,7000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,7000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,7000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,7000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,7500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,7500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,7500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,7500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,8000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,8000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,8000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,8000,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,8500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,8500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,8500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,8500,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,9000,,0.19,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,9000,,0.2,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,9000,,0.27,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,9000,,0.24,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,9500,,0.15,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,9500,,0.16,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6.5,0,9500,,0.16,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,7,0,9500,,0.16,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,5.5,0,10000,,0.321,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,0,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,6,0,10000,,0.333,,,,,,,,,,,,,,,,,,
