sample,T_C,P_bar,SiO2_wtpc,TiO2_wtpc,Al2O3_wtpc,FeOT_wtpc,MnO_wtpc,MgO_wtpc,CaO_wtpc,Na2O_wtpc,K2O_wtpc,P2O5_wtpc,H2OT_wtpc,OH_wtpc,H2Omol_wtpc,H2_ppmw,CH4_ppmw,CO2T_ppmw,CO2mol_ppmw,CO32-_ppmw,CO_ppmw,S2-_ppmw,S6+_ppmw,H2S_ppmw,H_H2OT/HT,H_H2/HT,H_CH4/HT,H_H2S/HT,C_CO2T/CT,C_CO/CT,C_CH4/CT,S2-/ST,S6+/ST,H2S/ST,Fe3+/FeT,H2OT-eq_wtpc,CO2T-eq_ppmw,ST_ppmw,X_ppmw,SCSS_ppm,sulfide saturated,SCAS_ppm,anhydrite saturated,ST melt if sat,graphite saturated,Pvsat (H2O CO2 only),xg_H2O (H2O CO2 only),xg_CO2 (H2O CO2 only),f_H2O (H2O CO2 only),f_CO2 (H2O CO2 only),p_H2O (H2O CO2 only),p_CO2 (H2O CO2 only),Pvsat_diff_bar,fO2_DNNO,fO2_DFMQ,fO2_bar,fH2_bar,fH2O_bar,fS2_bar,fSO2_bar,fH2S_bar,fCO2_bar,fCO_bar,fCH4_bar,fOCS_bar,fX_bar,pO2_bar,pH2_bar,pH2O_bar,pS2_bar,pSO2_bar,pH2S_bar,pCO2_bar,pCO_bar,pCH4_bar,pOCS_bar,pX_bar,xgO2_mf,xgH2_mf,xgH2O_mf,xgS2_mf,xgSO2_mf,xgH2S_mf,xgCO2_mf,xgCO_mf,xgCH4_mf,xgOCS_mf,xgX_mf,xgC_S_mf,yO2,yH2,yH2O,yS2,ySO2,yH2S,yCO2,yCO,yCH4,yOCS,yX,M_m_SO,M_m_ox,C_H2O_mf_bar,C_H2_ppm_bar,C_CO2T_mf_bar,C_CO_ppm_bar,C_CH4_ppm_bar,C_S_ppm,C_SO4_ppm_bar,C_H2S_ppm_bar,C_X_ppm_bar,KHOg,KHOSg,KCOg,KCOHg,KOCSg,KSOg,KSOg2,KHOm,KCOm,KCOs,density_gcm3,insoluble opt,H2S_m opt,species X opt,Hspeciation opt,fO2 opt,NNObuffer opt,FMQbuffer opt,carbon dioxide opt,water opt,hydrogen opt,sulfide opt,sulfate opt,hydrogen sulfide opt,methane opt,carbon monoxide opt,species X solubility opt,Cspeccomp opt,Hspeccomp opt,SCSS opt,SCAS opt,sulfur_saturation opt,sulfur_is_sat opt,graphite_saturation opt,ideal_gas opt,y_CO2 opt,y_SO2 opt,y_H2S opt,y_H2 opt,y_O2 opt,y_S2 opt,y_CO opt,y_CH4 opt,y_H2O opt,y_OCS opt,y_X opt,KHOg opt,KHOSg opt,KOSg opt,KOSg2 opt,KCOg opt,KCOHg opt,KOCSg opt,KCOs opt,carbonylsulfide opt,density opt,Date
Hawaii high Si,1200.0,1175.1423510859254,50.73251198644555,2.476372086060245,13.555105140574423,9.802700408931981,0.01763307672296237,6.626596231550271,10.912294014216139,2.250152614679683,0.42663444081874285,0.0,2.9718404135132983840519552642152,0.0,2.9747370149571205621117087995388,4.2690487178497406198965799138133,3.2071634716634910625857140590359e-06,996.37386034468839640511481598261,328.04357457729669788479198887382,668.33028576739062671444813105354,2.3078898706455221719829742053241,562.85534361533023181652357690511,3.8984917865673841895814707172583,460.48959153512406738336006506697,0.9906134711712241498818723556967,0.0012716090054906210222576438423912,2.4009245960657843867485108063664e-10,0.0081149195831927694892915617857802,0.99637386034468837558814598742649,0.0036261308574522948326865987729008,8.7978593295791674137999277687747e-09,0.562855343619110434296862875013,0.0038984917865935669175031871559455,0.43324616459429599878563393782965,0.15067875695717292,3.0,1000.0,1000.0,0.0,1056.7534630504377465847780926303,no,6100.4270181370432986522293889241,no,1000.0,no,1126.7498445758558,0.64884952465255950990913819762556,0.35115223218456519430505017665144,736.3869223658639,515.5742204860289466141965460626,731.09110105538936476355578126055,395.66072303642367266624037726921,-48.39250651006955,-0.6868775342161344,0.0,6.12160774994222e-09,12.371595539360073037945817666466,723.02215060929750010559726353188,0.80893401017311767264993773629022,6.4144363721986049908276848448652,45.013645311351326537340790373667,518.23447340161490745322773044199,22.021992425338012262125133354675,0.00029979914690123679671746045058714,4.0479696842022793501969454797448,0.0,4.9032721308851398447733022161142e-09,10.761282519551095158537196704751,716.92291006768454069431690778172,0.65978425565682608380103205096227,5.1018995980933944892547898835508,28.882001320971258583151532167099,393.28437336950517206643750422518,16.704914557344540946525974432549,0.00022349656103944765123947872501643,2.8245717470434535243696074570002,0.0,4.1724920613695224255785228715309e-12,0.0091574288932798742831946322453541,0.61007324721570158335055374620733,0.00056145049580345116372788332887015,0.0043415162370574354700057272021879,0.024577449101619035969829899690158,0.33466955982488334444156820744883,0.014215226386750393070676946633714,1.9018679807847873029157385221622e-07,0.0024035996527853188585066682380116,0.0,10.827046720011147037334453927858,1.2484739958410478282793889225948,1.1496395078266332681456362026477,1.0085075263406453720365401226454,1.2260583717139636104920160144059,1.2572643284857491292031678137524,1.5585362250733940777891242129122,1.317709292544696426516687564861,1.3182942271114907517761578231542,1.3414038475890533526664537775951,1.433126876114719183502813363909,1.0,36.03696192926147,62.65931218831888,4.6114e-06,0.34506856486439576073553478414261,1.529169076162225034299464485038e-06,0.10479932179025344098289375646646,0.01069770713096802402382613168251,0.04896356096498471,9049859334863.1696307004553437164,10.23,35.0,746952.76668289062700874173203692,5.4158768882830521089486091405619e-06,300771.6797348314,24113936638894221690102768264.812,0.06301420745932182,1165028248.616522,44299024.642637052568360162013199,0.78916030873323658748749780013367,2.1639897768131944351486122681041,805522546838220.9,2.5070626563006386,yes,yes,Ar,none,Kress91A,Frost91,Frost91,Leucite,AllisonDataComp,basalt,ONeill21dil,ONeill22dil,basalt,Ardia13,basalt,test,andesite,MORB,ONeill21hyd,Chowdhury18,no,no,no,no,SS92,SS92_modified,SS92_modified,SW64,SS92,SS92,SS92,SS92,HP91,SS92,ideal,KO97,KO97,KO97,OM22,KO97,KO97,Moussallam19,Holloway92,COS,DensityX,2024-01-11 08:44:09.490392
Ruapehu,1000.0,2373.327166410083,60.87326921150185,0.9441488828774671,14.89224526600541,6.560374711952711,0.0876014427412083,2.2387035367197674,5.723294259092275,3.796062518785693,2.0343001703236148,0.0,2.4360979826052270297419435898622,0.0,2.4384751374599618270633362712221,0.47948684286158926507286088283508,1.3785448788379010995510946601483e-07,997.51603599195037373620350385479,160.90878132865837348942858481878,836.60725466346271672452016721087,1.5809452901265390086655198132839,748.9695962289667695678357461414,621.43732686407858540728399221656,1200.6242747037022271864677151206,0.9744391926832352748559872393661,0.00017138800537639764802090601727873,1.2383961096113706548504475909373e-11,0.025389419299004366399878148068488,0.99751603599195035289535975489128,0.0024839636298885701690472046101854,3.7816107693559304049902447252828e-10,0.29958783652814412188169284122106,0.24857492911651789176483720260275,0.451837234355337986353469956176,0.22477875490051694,2.5,1000.0,2500.0,0.0,607.89537743374090600607111118867,yes,1241.1723918550018518202957345078,no,801.66336367834921557482809304793,no,2187.543903103826,0.22331727002374839959503166881423,0.77668027338212626241913940166596,473.62281324321714,3036.0287593426661579044108164895,488.51633249824158637168513892517,1699.0221966980829988802816047538,-185.78326330625714,0.5,1.13636634438185,2.3139867950935155e-10,1.5918830606312112436355497989835,450.23221610840409357350478172231,30.490639808064962129968793075454,155.3429720999546228362570695855,117.36307670612924328163577941776,3137.7829013862008138793950945525,18.332399238329645249748266329972,1.8183575982128695382222384352259e-05,67.454861975885760226641053065861,0.0,1.3996124465639528642960496035117e-10,1.1436465255516230548284038010064,461.68426811192091668575231022659,19.218444607736014212503803243485,107.18542027585241424801543047662,76.683220951242086096093194401546,1668.4652751188332594320892187176,9.8084593784463499376082983721829,9.3058174699379020686185978685933e-06,29.149499930431393241801067202691,0.0,5.8972587781945791017052593162347e-14,0.00048187478816142889570212179354434,0.19453039372159923585076390590408,0.0080976802860290072252450690862111,0.045162513534946843812315849371303,0.03231042986257720516193563742343,0.70300685836018534468243380131823,0.0041327885667287573469623479232412,3.9210006954135906535190987035984e-09,0.012282124581468134019437216646705,0.0,6.7901733411370133507027765804479,1.6533053851974171290117475116058,1.3919362539604508614228343115448,0.9751950568938583994777352294184,1.58653004602628160373317440478,1.449291999790306608340637361502,1.5304922674120959719038127831526,1.8806402195950516301670318466137,1.8690396249806846607659672711557,1.9540009290822716725643804478178,2.3141001436345214538240018996999,1.0,34.436623774519255,64.59299151137058,4.6114e-06,0.30120732779923156736184328396649,2.4340510879208281669417701802894e-07,0.086237773330894722702968587884348,0.0075812638844678948861429247969635,0.002063295151329332,31972217044058013.340185372083482,10.23,35.0,18592807.288417441760350348209494,7.1811184119791932436395059485685e-07,11251829.621061891,6.5327340580735542935323179551232e+32,0.001441087953418538,121575892080.3173,15674946339.904934477217038996596,0.62380534959354768621821698545693,5.4518431098368643215134730645997,1.4311141701240993e+18,2.4438396953775268,yes,yes,Ar,none,Kress91A,Frost91,Frost91,Dixon95,AllisonDataComp,basalt,ONeill21dil,ONeill22dil,basalt,Ardia13,basalt,test,andesite,MORB,Liu07,Chowdhury18,no,no,no,no,SS92,SS92_modified,SS92_modified,SW64,SS92,SS92,SS92,SS92,HP91,SS92,ideal,KO97,KO97,KO97,OM22,KO97,KO97,Moussallam19,Holloway92,COS,DensityX,2024-01-11 08:44:10.194722
Hawaii high Si,1200.0,1760.5821291651275,50.73251198644555,2.476372086060245,13.555105140574423,9.802700408931981,0.01763307672296237,6.626596231550271,10.912294014216139,2.250152614679683,0.42663444081874285,0.0,2.9722238570902932140732281098734,0.0,2.9751049427737699088475698895975,3.859919523617140099598634527468,6.5387929260934395708238550511788e-06,990.9142659547178484451634054345,326.2467303558065036689751174243,664.66753559888783438484418542637,5.7827014517192293999114243705539,562.30290030453640587549691469508,4.7685273514974814149765041932527,460.15202835855731973440200324604,0.99074128569786324317215429004288,0.001149742893816797354315362773557,4.8950260576244664056367936335708e-10,0.0081089709188173537110837066197248,0.99091426595471782774226034036891,0.0090857161081296518783722380006027,1.7937152520379367421630464155586e-08,0.56230290033783037382582223180118,0.0047685273517798260315968748146525,0.43292857231038980014258089338381,0.14981254667417085,3.0,1000.0,1000.0,0.0,1648.3608526204923,no,6100.6388923904092010964716017576,no,1000.0,no,1700.4128206384337,0.42199125000143411253534867089816,0.57800734294633008868884466359655,736.3869223658639,1464.8473513688099287986744457965,717.55933169967701267641802016266,982.85109636909561343932139533139,-60.16930852669384,-0.6614435011597113,0.0,6.769868649353071e-09,11.76728666745646681684595099731,723.20196095076142651130021984808,0.89284259141311149361874394917896,7.4525371227271029682578519016384,44.980647933387812592939435490122,1468.4241664969910460365531457571,59.336846374238818590275109115605,0.00069493168410509020078224394681039,11.458717310358957780336542035776,0.0,4.8809530132591059688020807891921e-09,9.5573273576313125167683916659267,703.01942367934367947896813919233,0.66070144741955845033814042406873,5.1577088144992522168957717358712,24.764794154642503941902998549139,971.29742673574271050205715969208,39.502794071320798507110382071176,0.00044950156750942599006545114612345,6.6153906571698422066751446893105,0.0,2.7723517877428792058968917376936e-12,0.0054285041290084099564879966914243,0.39931078024330353647180621314211,0.00037527442569967737804615156195495,0.0029295474088136125236092354170901,0.014066253283160400827431896150667,0.55169106322596514900708614023739,0.0224373480889830017849262547242,2.5531417141135061049410058420195e-07,0.0037575018782605030166139777990519,0.0,26.873612413727886790136074622569,1.3869972997000231016775810421824,1.2312319362023893773042811047571,1.0287083636548614982366115831894,1.3513555856434182113277575445287,1.4449317304956560113680066032413,1.8163142262563715530746592443413,1.5118172107507289467635756312475,1.5020923904042936779405197357528,1.5460050294274392552228939614911,1.7321301045071099844404253890884,1.0,36.03696192926147,62.65931218831888,4.6114e-06,0.32802120256763260388110390076139,5.3671286205241972684380761003995e-07,0.09745549022352151770123787271877,0.0094092600404511395741174753985234,0.04896356096498471,9059963846627.6853048323923052465,10.23,35.0,746952.76668289062700874173203692,5.4158768882830521089486091405619e-06,300771.6797348314,24113936638894221690102768264.812,0.06301420745932182,1165028248.616522,44299024.642637052568360162013199,0.78916030873323658748749780013367,2.1639897768131944351486122681041,2011335261592200.8,2.516565047718867,yes,yes,Ar,none,Kress91A,Frost91,Frost91,Dixon97,AllisonDataComp,basalt,ONeill21dil,ONeill22dil,basalt,Ardia13,basalt,test,andesite,MORB,pss_O2021,Chowdhury18,no,no,no,no,SS92,SS92_modified,SS92_modified,SW64,SS92,SS92,SS92,SS92,HP91,SS92,ideal,KO97,KO97,KO97,OM22,KO97,KO97,Moussallam19,Holloway92,COS,DensityX,2024-01-11 08:44:10.712039
Cottrell MORB,1100.0,1094.463369082273,52.172466291019504,2.546659609887213,13.939843274600538,10.080933047088394,0.01813356100288323,6.814680664878621,11.222020541117574,2.31401929142382,0.43874371898144426,0.0,0.19978783698184306967159125689471,0.0,0.2000013846477331645069962071868,0.019108493217145652182316749366629,5.1551348539041429081557603350655e-10,1092.5566932394874873447609895111,253.79221370026808519417312138135,838.76447953921940209958385047294,4.7373724084243924436398206630399,1415.0454034363501059150974498681,6.4827620241681629134215461867057,3.690150772532272935591684773858,0.99893918490921535578933581280607,8.5376861435237831116242999480483e-05,5.7888022435381875203754440885927e-13,0.0009754382287705261551941254430915,0.99323335749044304195210319417731,0.0067666425082713657488739104894951,1.2855922990228953331857442853997e-12,0.99301431820094733629466189935795,0.0045493066836267805041815794365907,0.0024363751154258832011565212062842,0.15164978066747872,0.2,1100.0,1425.0,0.0,1315.7420040536142203385124778928,yes,9632.1021326719389680875950888931,no,1321.7541479462355592539678438485,no,1055.2709232545847,0.0033297215850179491221649002800862,0.996669782772365882959359868059,3.458530729775124,1365.8518709820275739391330406658,3.5137583712026101757830254596365,1051.7566418461408809217765838941,-39.19244582768829,-0.6951440806749005,-1.7763568394002505e-15,3.5168209145636347e-10,0.055370913071939592462970616999916,3.4512022323095737799545595655543,0.85352541240381373713706729671314,3.2647591797601873998703157023775,0.36071855058966497939916567080044,1366.6308602165095584729708110109,45.198353427412524304003044401312,4.8178095419954646985238868019422e-08,14.76073954323202923208836136322,0.0,2.8185237293205772133242873892627e-10,0.048080090248114764313713853252658,3.5049846161339934578476856373374,0.69700890366775784142185956926132,2.868893979225646758765314393938,0.29258604474624743714164437462391,1042.3279158328589332435943043772,34.303750837575341598229473271507,3.5982513047903272770620833077874e-08,10.41921251338296998493467241902,0.0,2.5752563392632862828963349900847e-13,4.3930287304572630318449177079563e-05,0.0032024686391039158871722885785389,0.00063684991508871807811059373822665,0.0026212791220516274753728462208447,0.00026733288021469923957518689447337,0.95236436894810785514601338838022,0.031342986715343107742873730057436,3.2876854597769911321267381062154e-11,0.0095199280375364828161019658905398,0.0,72.592447813539049890858090994311,1.2477528139922335938325951052196,1.1516391251805252932004282638528,0.98465545795069943050361991199707,1.2245545328222412183396943155254,1.1379853014440742792875759636643,1.2328631425415629835411100453471,1.3111333194261812135344650578127,1.3175921677318023344062103743061,1.3389308121924524578868330751887,1.416684756575660555605504096798,1.0,36.03696192926147,62.65931218831888,4.6114e-06,0.34509983955509836664037715443224,6.5345860546560567511267340956509e-07,0.10481294226862709375441567449044,0.010700163235944281657051073528137,0.02872349440775954,1063962867017503.888396267336014,10.23,35.0,3323637.0897712907633146802738603,2.1216071351208388717495032894834e-06,1612328.3221583106,2731756004185352223848375885076.0,0.010934739196032446,10048301789.505186,671809246.06926605464994336329826,0.70766135784979278831229762983794,3.3211410543794871514183307925137,8796167210169313.0,2.7123055561496834,yes,yes,Ar,none,Kress91A,Frost91,Frost91,Lesne11,AllisonDataComp,basalt,ONeill21dil,ONeill22dil,basalt,Ardia13,basalt,test,andesite,MORB,ONeill21,Chowdhury18,no,no,no,no,SS92,SS92_modified,SS92_modified,SW64,SS92,SS92,SS92,SS92,HP91,SS92,ideal,KO97,KO97,KO97,OM22,KO97,KO97,Moussallam19,Holloway92,COS,DensityX,2024-01-11 08:44:11.217425
Cottrell OIB,1100.0,3267.916934959513,51.40649969733985,2.5092709962118303,13.735186392751885,9.932930499075438,0.017867334333145527,6.714631383965288,11.05726519295872,2.2800461711102415,0.43230233225358694,0.0,1.4963392176480801933097003848737,0.0,1.4988374658406102686473322883163,0.13943680295919108261177517930671,3.2169028392124978140008167851519e-09,1705.5458894348127304872952152753,404.2923187602683305476809266909,1301.2535706744909516398079672214,2.8348664292240183136678346129842,386.22860042597468314575076673701,1980.8405211138861780485894609338,66.888103436405688370003178945038,0.99755947845205267556444654316508,8.3067262082016779880626618404601e-05,4.8164312285378871464500744658517e-13,0.0023574542853836645328190415014242,0.99739525697942263320365553062854,0.0026047430154167958799912759754739,5.1605709163531933956190461510597e-12,0.15894181090989133910653343167011,0.81516070845684678733799478734597,0.025897480633261873555471780983778,0.2553432838352551,1.5,1710.0,2430.0,0.0,1230.6307072607722280776909638765,no,6826.0677054428183912154328263414,no,2430.0,no,3146.110720637743,0.056802301607561909973210369902154,0.94320132235956216816656444673572,189.62937028063973,6554.726462256357721669914584171,178.70633004444901779001406509637,2967.4157919951140987720949841063,-121.80621432177031,0.8061565989421453,1.4000000000000004,1.3190485978383653e-08,0.49439021358491957812588343194884,188.71823252193637593355461381181,3.5176257986235089806163760423528,248.58692696574919436092307944499,6.5384265333729900810719809917908,6689.1358501983427826037168675489,36.123193292560942025171060941796,5.0122674619091337926579843096476e-07,23.949046605063994031148270448542,0.0,6.9651411092946041897986796018492e-09,0.32672898263041057338643919199003,176.64318755042724037186052138281,1.9460256908303639016031842370205,127.12443610377794116438025642057,2.9495676869031438020818745635554,2934.6180875852014588846382986809,16.413220412613283486864536631767,2.1307583172044050395961634728068e-07,7.8817590616173868385125289400236,0.0,2.1313703034440490472579295474054e-12,9.9980810140897441033404677815252e-05,0.054053756893492064206794973648322,0.00059549423365452635056978296299171,0.038900755017309799232797421589562,0.00090258343330250117940491234571739,0.89800877623028047537631932539416,0.0050225329282479544219977719596171,6.5202340194451834426010673206355e-11,0.0024118602824018951133774925845477,0.0,20.859772025758341216135409650616,1.893785893408772882687695016694,1.5131507759266159310405163680967,1.0683583960352957868436754433246,1.80759473793100211411423032406,1.9554613934555858082365239680648,2.2167406302982377194361016309077,2.2793888848761944817280542448331,2.2008595744440790119364904029803,2.3523397381291571865032242041927,3.0385408152973275623326709113284,1.0,36.03696192926147,62.65931218831888,4.6114e-06,0.28203795125333834864806281284765,2.0576875422229971112351350707629e-07,0.07847773607013360975556063938879,0.0064180590195145022812848183443169,0.023651027320784238,697161663980133.78557375089002068,10.23,35.0,3323637.0897712907633146802738603,2.1216071351208388717495032894834e-06,1612328.3221583106,2731756004185352223848375885076.0,0.010934739196032446,10048301789.505186,671809246.06926605464994336329826,0.70766135784979278831229762983794,3.3211410543794871514183307925137,3.3660192510331514e+17,2.6634724232392735,yes,yes,Ar,none,Kress91A,Frost91,Frost91,Dixon95,AllisonDataComp,basalt,ONeill21dil,ONeill22dil,basalt,Ardia13,basalt,test,andesite,MORB,ONeill21,Chowdhury18,no,no,no,no,SS92,SS92_modified,SS92_modified,SW64,SS92,SS92,SS92,SS92,HP91,SS92,ideal,KO97,KO97,KO97,OM22,KO97,KO97,Moussallam19,Holloway92,COS,DensityX,2024-01-11 08:44:11.917137
