Sample,T_C,SiO2,TiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,Type,Place,Colour,Symbol,Size,reference,carbon dioxide,SiO2_sd,TiO2_sd,Al2O3_sd,FeOT_sd,MnO_sd,MgO_sd,CaO_sd,Na2O_sd,K2O_sd,P2O5_sd,H2O_sd,CO2ppm_sd,STppm_sd,Xppm_sd,Fe3FeT_sd,SiO2_sd_type,TiO2_sd_type,Al2O3_sd_type,FeOT_sd_type,MnO_sd_type,MgO_sd_type,CaO_sd_type,Na2O_sd_type,K2O_sd_type,P2O5_sd_type,H2O_sd_type,CO2ppm_sd_type,STppm_sd_type,Xppm_sd_type,Fe3FeT_sd_type
AGR19-02-13,1200,47.91,0.8,16.83,10.3,0.23,4.26,11.27,2.28,0.57,0.14,3.3,131,1007,0,0.232,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,Leucite,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-14,1200,46.49,0.68,17.53,9.83,0.18,5.24,11.66,2.01,0.46,0.13,3.63,457,1182,0,0.243,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,AH3 phonotephrite,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-15,1200,46.06,0.61,17.63,9.45,0.21,4.47,13.5,1.72,0.38,0.12,4.25,903,1300,0,0.266,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,N72 Basalt,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-16,1200,45.97,0.66,17.21,10.67,0.22,5.36,12.07,2.09,0.42,0.14,4.36,549,1517,0,0.24,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,Blank93,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
AGR19-02-17,1200,49.55,0.81,16.69,8.7,0.18,3.97,10.79,2.38,0.86,0.29,4.21,400,1010,0,0.252,MI,"Agrigas, Marianas",firebrick,circle,10,Kelley+Cottrell2012 EPSL 329-330:109-121.,Dixon95,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-1,1200,46.45,0.64,17.92,8.88,0.16,6.99,12.97,1.38,0.31,0.1,4.01,209,1005.35,0,0.258,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Dixon97,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-2,1200,50.47,1.02,16.34,10.87,0.16,5.16,8.76,2.67,1.07,0.2,3.1,182,576.95,0,0.197,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,Lesne11,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-3,1200,49.68,0.82,17.13,8.38,0.2,5.61,11.1,2.09,0.74,0.16,3.88,453,664.49,0,0.243,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,VES-9,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-4,1200,48.46,0.8,17.54,8.56,0.18,6.55,11.62,1.59,0.47,0.11,3.9,363,1004.64,0,0.244,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,ETN-1,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
Ala02-5,1200,45.99,0.55,16.88,8.56,0.18,7.06,14.22,1.55,0.44,0.11,4.14,808,1377.57,0,0.259,MI,Alamagan. Mariana MI,orange,circle,10,Brounce+2014 J.Pet. 55:2513-2536.,PST-9,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.01,0.05,0.05,0.25,75,100,0,0.005,R,R,R,R,R,R,R,R,R,R,A,A,A,A,A
